label,title,content
3,Ernie Cox, Ernest Ernie Cox (February 17 1894 – February 26 1962) was a star football player in the Canadian Football League.Cox was born in Hamilton Ontario. He played for eleven seasons for the Hamilton Tigers. He died in his home town of Hamilton and was inducted into the Canadian Football Hall of Fame in 1963 and into the Canada's Sports Hall of Fame in 1975.
10,Holosteum, Holosteum is a genus of plants in the Pink family (Caryophyllaceae) with 3 or 4 species native from southern Europe through central and south western Asia and in Africa. They are herbs with an annual life span some growing as winter annuals. They have slender roots and thin stems that are upright or ascending.
9,Pestarella tyrrhena, Pestarella tyrrhena (formerly Callianassa tyrrhena) is a species of thalassinidean crustacean (ghost shrimp or mud shrimp) which grows to a length of 70 mm (2.8 in). It lives in burrows in shallow sandy parts of the sea-bed in the Mediterranean Sea and northern Atlantic Ocean. It is the most common thalassinidean in the Mediterranean and has been used as bait by fishermen for at least 200 years.
1,MidSun Junior High School, MidSun Junior High School is a Canadian middle school teaching grades seven through nine for the communities of Midnapore Chaparral and Sundance in Calgary Alberta. It is part of the public Calgary Board of Education. When opened in 1998 it was designed with a capacity of 750 students and quickly gained enrollment of slightly less or slightly more than that figure.The need for a new junior high school (middle school) to alleviate busing concerns arose in 1996.
6,St James' Church Wrightington Bar, St James' Church Wrightington Bar is in Church Lane to the west of the village of Wrightington Bar Lancashire England. It is an active Anglican parish church in the deanery of Chorley the archdeaconry of Blackburn and the diocese of Blackburn.
11,The Thirteenth Dream, The Thirteenth Dream was the second (and final) reunion album from Spirit. It features re-recordings of several of their best-loved tracks along with three new songs.
11,Atmosphere (Atmosphere album), Atmosphere is the first album by Polish rock band Atmosphere. It was released in 1997.
12,Three Comrades (film), Three Comrades 1938 is a drama film directed by Frank Borzage and produced by Joseph L. Mankiewicz for MGM. The screenplay is by F. Scott Fitzgerald and Edward E. Paramore Jr. and was adapted from the novel Three Comrades by Erich Maria Remarque. It tells the story of the friendship of three young German soldiers following World War I and the beginning rise of Nazism.The film stars Robert Taylor Margaret Sullavan Franchot Tone and Robert Young.
10,Gastrolobium bilobum, Gastrolobium bilobum commonly known as Heart-leaved Poison is a bushy shrub which is endemic to south west Western Australia. The species is a member of the family Fabaceae and is probably the most toxic species in the genus Gastrolobium containing high levels of monofluroacetic acid.The species grows to a height of up to 4 metres.
2,Carl Weathersby, Carl Weathersby (born Carlton Weathersby 24 February 1953 Jackson Mississippi) is an American electric blues vocalist guitarist and songwriter. Weathersby has worked most notably with Albert King and Billy Branch and is now a solo artist.Weathersby was also nominated in 1997 for a W.C. Handy Award for 'Best New Blues Artist'.
8,Bahçekonak Vezirköprü, Bahçekonak is a village in the District of Vezirköprü Samsun Province Turkey.
10,Capparis sandwichiana, Capparis sandwichiana is a species of flowering plant in the Capparaceae family endemic to the Hawaiian Islands. Common names include maiapilo pua pilo and Hawaiian caper. C. sandwichiana can be found on the main islands Midway Atoll the Pearl and Hermes Atoll and Laysan. It inhabits coastal low shrublands and rocky shores at elevations from sea level to 325 feet (99 m).
10,Cycas calcicola, Cycas calcicola is a species of cycad in the genus Cycas native to northern Australia in the northwest of Northern Territory.The stems are erect 2-5 m tall and 16-22 cm diameter. The leaves are variably deep green and glabrous to white tomentose above and persistently white tomentose below 60-130 cm long pinnate with 210-410 leaflets. The leaflets are 5-12 cm long and 2-4 mm wide and lie flat either side of the leaf stem (not in a 'v'-shape like most other Cycas species).
4,Wang Yeping, Wang Yeping (Chinese: 王冶坪; pinyin: Wáng Yěpíng born 1928) a native of Yangzhou China. She is the wife of Jiang Zemin former General Secretary of the Communist Party of China and President of the People's Republic of China.
10,Clivia (apple), Clivia is a German apple cultivar. It was created at the Institut für Acker- und Pflanzenbau of Müncheberg in Märkisch-Oderland in eastern Germany which at that time was in the German Democratic Republic. It is a hybrid of Geheimrat Dr. Oldenburg and Cox's Orange Pippin. It was reported as a new variety in 1964 and 1965; it was parent of a new cultivar Pinova in 1965.
