label,Predicted,title,content
6,0,McLean's Mansion, McLean's Mansion (originally Holly Lea) is a homestead in Christchurch New Zealand. The two hectares property is situated between Manchester and Colombo Streets. The mansion was initially known as 'Holly Lea' but later became known as McLean's Mansion after its initial owner. It was the largest wooden residence in New Zealand.
9,10,Narrow-body righteye flounder, The narrow-body righteye flounder Nematops macrochirus is a flatfish of the family Pleuronectidae. It is a demersal fish that lives on saltwater bottoms at depths of between 218 and 438 metres (715 and 1437 ft). Its natural habitat is the waters of the Indo-West Pacific from the Bali Strait to Northern Territory Queensland and New South Wales in Australia. It can grow up to 15 centimetres (5.9 in) in length.
6,1,Sonoy, Sonoy is former a restaurant located in Emmeloord in the Netherlands. It was a fine dining restaurant that was awarded one Michelin star in the period 2010–2013.Gault Millau awarded the restaurant 16 out of 20 points.Owner and head chef of Sonoy was Paul van Staveren.The restaurant is a member of Alliance Gastronomique Néerlandaise since 2006.Restaurant Sonoy is located in a former water tower at a height of 40 meters. It occupies four floors.
9,10,Anaphe venata, Anaphe venata is a moth of the Notodontidae family. It was described by Butler in 1878. It is found in Angola Cameroon the Central African Republic the Republic of Congo the Democratic Republic of Congo Equatorial Guinea Ghana Ivory Coast Nigeria Tanzania and Togo.The larvae have been recorded feeding on Triplochiton scleroxylon Cola verticillata and Cola ballayi.
9,10,Nebria dahilii, Nebria dahlii is a species of ground beetle in the Nebriinae subfamily that can be found in Austria all states of former Yugoslavia (except for Republic of Macedonia) and Italy.
6,1,New York Life Building (Kansas City Missouri), The New York Life Building is a 12-story 54.86 m (180.0 ft) high-rise in the Library District of downtown Kansas City Missouri. The brick and brownstone tower which was completed in 1890 generally is regarded as Kansas City's first skyscraper and was the first building in the city equipped with elevators. It was commissioned by the New York Life Insurance Company which also used the same design for an identical building in Omaha that was completed in 1889.
9,10,Rhytida citrina, Rhytida citrina is a species of medium-sized air-breathing predatory land snail a terrestrial pulmonate gastropod mollusc in the eponymous family Rhytididae.
9,10,Asterolepis (moth), Asterolepis is a genus of moths belonging to the subfamily Tortricinae of the family Tortricidae.
6,1,SS. Peter and Paul's Church (Bronx New York), The Church of Saints Peter and Paul is a Roman Catholic parish church under the authority of the Roman Catholic Archdiocese of New York located at 833 St. Ann's Avenue Bronx New York City. The parish was established in 1897.According to Bronx Catholic the church dates from 1932. The architect was Robert J. Reiley.It is one of the parishes in the Bronx that is home to communities of the Neocatechumenal Way.
9,10,Parlatoriini, Parlatoriini is a tribe of armored scale insects. Takagi (2002) indicated that the Parlatoriini appear to be phylogenetically related to the Smilacicola and the Odonaspidini.
